sample1,sample2,adjsig
4091,6371,1.000
4091,4531,1.000
4091,4091KO,1.000
4091,6370,0.065
4091,6564,0.011
4091,11161,0.000
4091,Water and Silwet,0.000
4091,Water,0.000
6371,4531,1.000
6371,4091KO,1.000
6371,6370,1.000
6371,6564,0.391
6371,11161,0.004
6371,Water and Silwet,0.000
6371,Water,0.000
4531,4091KO,1.000
4531,6370,1.000
4531,6564,0.520
4531,11161,0.007
4531,Water and Silwet,0.000
4531,Water,0.000
4091KO,6370,1.000
4091KO,6564,1.000
4091KO,11161,0.044
4091KO,Water and Silwet,0.000
4091KO,Water,0.000
6370,6564,1.000
6370,11161,1.000
6370,Water and Silwet,0.010
6370,Water,0.000
6564,11161,1.000
6564,Water and Silwet,0.063
6564,Water,0.015
11161,Water and Silwet,1.000
11161,Water,0.905
Water and Silwet,Water,1.000
